# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight
5660574219747184279	94.6867	0.690727	2.72355	276.589	3	149.657	119.62	-1.6585	2.20794	140.822	0	2.40692	442.74	0.149268	1.71776	0.21702	-0.284444	-0.174432	0	0.0493703
2131208305924595821	128.949	2.15478	3.06552	318.098	2	123.671	82.573	-0.809767	3.32799	65.6827	0	1.17939	343.78	1.54481	1.2326	3.56773	0.338964	0.018457	0	0.0437828
17124294841778409873	136.94	2.02331	3.3315	203.707	2	118.791	36.8814	-2.16678	0.000913577	79.4695	0	1.6304	324.735	2.69496	2.35319	2.21784	-0.809733	-0.796213	0	0.00144788
18267233398948629373	23.8426	0.175356	2.31436	102.117	3	82.2162	37.5473	-3.2277	4.1201	60.1548	0	0.207301	287.887	3.12117	3.30057	3.95497	-0.909341	-0.0646167	0	0.00083953
14390433622196908152	593.943	1.15662	1.96453	470.091	2	508.032	121.12	-0.986586	1.5869	450.889	0	1.81122	1267.1	1.7023	0.477033	1.5072	-0.994516	-0.999605	0	0.0217388
7250459326715909385	165.524	0.318386	0.849912	55.4875	2	68.6213	60.3068	-1.91032	0.417842	21.3967	0	0.00794145	271.954	3.78478	2.75638	2.07082	-0.931699	-0.859329	0	0.0130043
11559627822862145646	83.1642	1.38989	2.96273	140.962	2	106.441	30.8661	-1.13975	5.4948	290.244	0	3.35025	333.779	2.09205	1.26845	0.321902	-0.297468	-0.990052	0	0.615214
16196817777194528924	65.4896	3.32544	4.55934	416.555	2	90.714	64.0305	-0.69307	2.6343	140.987	0	1.53737	349.111	5.70049	0.70388	3.12553	-0.937143	-0.717225	0	0.334873
12150977138056451781	167.452	0.806675	2.81831	311.845	3	175.571	122.12	-0.94173	1.94447	114.107	0	0.907539	573.745	2.79176	0.979852	0.574413	-0.00179245	-0.793736	0	5.5692
7562949509839493910	161.542	2.77151	4.03809	376.316	3	169.407	46.3598	-0.404883	2.65941	136.943	0	2.07084	382.245	4.18662	1.4325	2.57327	-0.245503	-0.969992	0	0.558894
9347824441895388655	607.115	3.50181	3.79618	922.327	2	363.576	70.6464	-0.0790441	1.08239	124.503	0	0.561967	758.052	3.98378	2.23502	1.62866	-0.153971	-0.999997	0	-0.000404591
12625151127391370517	162.695	0.395901	0.431953	22.7392	2	76.0114	34.5835	-1.14756	0.416685	68.7113	0	1.19865	269.209	3.96671	2.74145	0.728545	0.999205	-0.92684	0	0.477592
6119244186592688764	241.247	0.751993	0.961365	75.7662	2	97.1141	61.1667	-0.118121	5.02827	38.1641	0	0.0600057	324.938	0.198546	1.8942	0.642904	0.999056	-0.914823	0	0.0737604
9435412112102847823	1737.3	0.695527	0.863882	386.24	3	898.413	203.475	0.0571919	0.692774	76.403	0	0.192335	1583.07	2.49392	2.18879	0.285765	0.300843	-0.996178	0	0.000494483
8485032083745125788	486.135	3.97734	4.34056	1719.04	2	303.497	181.065	0.935342	0.519824	48.5924	0	0.510042	735.192	3.99656	2.09104	0.61585	-0.689959	-0.970963	0	0.160357
2360474462359689633	290.041	1.05623	2.71449	267.172	3	173.427	84.3212	-0.166841	4.62424	45.4083	0	0.669461	430.458	5.29501	0.713233	0.0452963	-0.0127308	-0.761374	0	0.00641544
