# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

16156093817680512468	204.199	3.63531	4.05583	637.883	2	174.1	60.6709	-1.26445	0.475126	92.9845	0	1.82458	497.407	4.29698	1.98787	2.30288	-0.949862	-0.801528	0	0.0357963
12109074719285638060	47.4554	5.6174	6.21457	1031.55	2	63.067	60.9035	1.84436	2.18614	95.7499	0	1.10489	313.357	5.94408	2.11203	0.252365	-0.997987	-0.327181	0	0.000100354
13993859613927955445	162.524	3.86904	4.92165	1019.68	2	192.809	108.008	1.23015	1.09678	37.5176	0	0.526863	459.92	2.58462	2.26272	0.565088	-0.977559	-0.579554	0	0.735523
10659937183518895486	189.861	2.42677	3.22083	561.633	4	196.938	128.001	1.04132	1.67663	191.159	0	0.25699	957.202	2.72777	1.72859	0.108148	-0.376808	-0.977911	0	0.000812333
6333386447735528542	562.728	3.42877	3.52841	576.726	3	291.64	38.0406	0.741347	1.10023	103.137	0	0.441582	726.053	5.01951	1.94603	0.898676	-0.87404	-0.999998	0	7.32437e-05
6494431920271262847	34.5231	5.11712	5.70134	1025.1	2	87.347	71.3855	1.57092	1.712	67.3334	0	0.76514	328.32	1.75838	2.57486	1.09649	0.999758	-0.919962	0	2.6202e-05
16143397183423334117	502.022	3.5501	4.25915	896.365	3	345.573	64.0137	-1.25747	0.0522518	37.959	0	0.925434	609.946	5.25938	2.70186	2.61352	0.236859	-0.833711	0	0.809425
3829260526191765205	180.663	4.72707	5.29133	897.292	2	123.988	56.696	1.28345	0.171232	32.2866	0	0.954914	296.659	4.53986	2.47815	0.557956	0.589	-0.453243	0	0.90435
654629477214940699	82.1032	4.76918	5.4681	603.77	4	56.8218	53.5693	1.79519	0.183431	24.7007	0	0.666491	516.295	3.23879	2.15968	0.36291	-0.589816	-0.711271	0	2.47637
5771409213587084544	217.499	2.78635	4.15358	1659.31	4	483.197	311.099	-0.233064	2.27229	170.484	0	0.624695	1420.87	2.8979	1.92011	1.92711	0.890607	-0.698214	0	7.25625e-06
8760034091840500198	139.254	4.70883	5.57932	1723	2	253.276	103.779	1.58546	2.45142	149.903	0	0.398964	646.682	4.00574	2.46162	0.513609	-0.270461	-0.999476	0	0.756109
13954162963284163219	342.116	4.71948	4.77298	1248.45	2	174.922	80.449	1.3752	0.813038	55.1914	0	0.740127	479.92	5.58527	2.5194	0.849064	0.531663	-0.965619	0	0.426435
1715659282915985523	110.037	5.51067	6.15345	1053.66	2	90.3169	49.3252	1.92441	3.21723	96.974	0	0.611298	322.848	2.68704	2.67582	2.4716	0.200071	0.597965	0	0.000101103
15963712283773805081	537.638	5.35694	5.34715	1828.3	2	277.755	57.257	1.50229	0.100518	37.0458	0	0.546381	560.526	2.79164	3.24411	0.824039	0.991012	-0.936592	0	9.95359e-06
3344659690439241095	607.82	3.67995	3.98954	1478.35	2	273.181	201.464	0.141609	0.996784	61.9119	0	0.752794	713.372	4.87294	1.66268	1.52289	-0.995506	-0.987091	0	2.99935
12813106442670558894	177.588	4.86906	5.61524	2533.83	3	238.023	204.115	1.59651	3.73957	180.159	0	1.63515	801.933	1.45538	2.61333	0.704674	-0.22733	-0.842576	0	0.000100001
12754875274717033137	106.865	2.95621	4.12974	822.937	2	198.435	160.57	0.00116241	0.555972	93.2659	0	2.69605	569.383	5.58906	1.2667	0.618985	-0.993136	-0.130273	0	0.00165778
3834404439854348260	279.075	6.12327	6.63358	2912.54	4	287.557	64.4036	1.00215	1.3258	61.0749	0	0.62385	777.572	5.96472	2.16598	2.08202	-0.0976784	-0.860394	0	5.31998e-12
7656574900796752354	149.74	5.11838	5.26367	641.722	2	73.6899	33.5376	1.02207	1.47029	165.045	0	1.14124	401.75	6.2617	2.80554	1.3084	0.0400291	-0.936921	0	4.07026e-05
17627734080755913488	297.56	4.37434	4.3739	811.22	3	105.823	80.1411	2.00704	1.86916	135.641	0	0.0409144	448.299	2.48766	2.8889	0.548404	0.187798	-0.953814	0	0.026509
9768688630725827480	485.079	4.78196	5.05494	1979.26	2	360.596	90.8742	1.24181	0.103659	54.4639	0	0.474204	819.459	5.3081	3.19884	1.01846	-0.575197	-0.996154	0	0.781968
8637506934788111335	40.5301	3.42855	4.48769	570.03	2	101.217	97.6326	1.41681	2.74153	96.3364	0	0.435808	491.164	1.98484	1.48762	0.238831	0.999541	-0.993588	0	0.868187
2363320584647449927	153.105	3.91349	4.68171	673.309	4	117.105	74.5895	1.26728	3.60161	72.0168	0	0.348533	456.133	3.3628	2.07876	0.440687	-0.999673	0.0628768	0	0.000108541
413460994678510549	1581.15	2.78038	3.2668	1380.9	2	901.818	128.139	0.729055	0.725637	58.5449	0	0.155217	1324.52	5.94146	2.36823	0.533531	0.81315	-0.999655	0	0.0444679
307333231843552116	334.073	6.81084	6.82166	2854.37	2	102.86	87.4343	2.46824	1.71731	92.7748	0	0.548662	454.494	1.27941	3.46293	0.940502	-0.728313	-0.995062	0	7.43745e-06
3332337542968717498	104.364	2.4396	3.79393	1891.22	3	553.838	475.589	-0.587662	0.184683	59.3618	0	0.921915	1251.81	0.705599	1.90104	1.32199	0.521567	-0.945574	0	0.00260546
4082790262951997554	205.941	7.56871	7.58088	2728.46	2	105.803	36.3594	2.07764	2.2377	91.7753	0	0.073856	400.557	5.92718	2.14863	2.04418	-0.227923	-0.911275	0	1.61791
14867206670607306933	552.174	3.91303	4.52499	2099.13	3	309.549	276.909	1.38446	1.7906	58.7944	0	0.807484	845.474	5.21229	2.49238	0.218877	-0.701374	-0.998015	0	6.09951
6025539899706854460	405.667	3.7429	3.7919	804.248	9	195.078	81.3461	1.52326	1.04431	203.997	0	0.487351	1204.7	1.40291	2.4388	0.203922	-0.854734	-0.967496	0	7.28558e-07
