# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

3757589401678285783	4.80367	4.50318	5.18782	578.357	2	71.027	51.1414	-0.788787	0.916325	105.781	0	1.98957	293.329	0.832244	1.72462	2.6	0.0630551	-0.908187	0	0.193288
879851605383165133	181.477	3.6041	3.65121	658.808	5	116.204	105.549	0.603136	0.497207	27.2925	0	0.100058	576.226	4.51899	1.83142	1.18838	0.369947	-0.0913047	0	0.211606
12160481683171222368	87.8204	3.21903	4.39427	1584.21	2	318.428	291.595	0.509865	2.91947	142.11	0	2.10093	814.607	1.45253	2.28846	1.4681	0.610988	-0.874037	0	1.86003e-06
12692722907645487670	9.36469	2.76298	4.00916	528.685	3	154.064	101.309	0.679726	5.47962	42.0788	0	0.702256	543.824	2.60458	1.37993	0.170329	-0.547076	-0.957832	0	0.0995418
4802794648337243286	349.357	3.11402	3.22103	691.468	2	240.143	93.5146	-0.663579	2.05547	315.344	0	0.911882	853.881	1.40218	1.89401	2.32293	-0.98343	-0.999079	0	0.00698719
8898097860453301909	103.856	2.4022	3.19686	707.387	4	302.055	135.985	-1.00068	3.35502	86.9002	0	1.02796	818.985	2.15586	1.00341	2.83465	-0.804728	-0.999857	0	0.500673
3429823507061130744	33.7121	4.02405	4.46017	554.073	2	111.967	48.2689	0.963673	0.106304	22.5952	0	0.466065	412.497	3.20407	1.96958	0.860259	-0.885194	-0.998862	0	0.729555
7695630431573197954	81.7223	4.22715	4.79106	703.767	3	96.3273	73.5826	0.0674927	3.46185	84.0801	0	1.97332	444.74	5.35213	1.20269	2.76699	0.998542	0.722577	0	0.0227783
13028671221300316349	148.663	2.43395	3.5905	558.074	3	181.325	127.994	0.245987	3.39887	108.633	0	0.366405	808.984	1.04197	1.3088	0.21785	0.262348	-0.994475	0	1.62402
2865848041034032898	145.467	4.20639	4.5609	560.738	2	100.214	46.4105	0.785896	3.87271	191.147	0	1.97791	377.11	5.78927	0.837646	0.484758	0.814127	-0.88232	0	0.186917
1432859153172438230	197.406	4.92756	4.97682	570.181	2	75.6326	31.4057	1.6039	0.788358	34.8868	0	0.796178	240.147	2.19535	2.37206	0.560736	0.966	-0.110203	0	0.148358
4050584392692339348	329.22	2.44839	3.39122	590.182	2	300.678	87.5424	-1.82001	0.86011	65.3698	0	0.0443541	623.689	5.93112	1.97497	3.10676	0.553938	-0.99836	0	0.0199598
3123542790100769394	63.8133	4.51607	5.30203	649.621	2	94.0442	48.0426	0.768203	4.13137	63.2335	0	0.0870375	268.742	2.23846	1.14492	2.08469	-0.858073	-0.706249	0	0.192114
13329560562477286585	472.814	3.13618	4.17862	1538.34	5	344.311	275.472	-0.708045	1.6512	62.0746	0	1.07984	1093.39	1.6142	1.1792	2.06068	-0.963481	-0.843818	0	1.94769e-05
5313902451472694079	160.517	2.46947	3.7246	546.792	3	149.483	141.307	-1.2449	2.61291	111.835	0	1.25586	515.867	3.8729	1.0609	0.70259	-0.198114	-0.251222	0	0.00305696
16907302715788036365	277.474	6.53763	6.55857	2346.1	2	130.566	61.1716	2.02941	0.887936	44.957	0	0.00489535	407.215	5.78193	2.76357	1.31856	0.0901447	-0.986172	0	-0.000158615
4417052705130773104	324.766	2.48222	2.55985	596.682	4	200.239	168.729	-1.45007	5.36302	92.4785	0	0.293802	931.019	5.02163	2.2623	2.69798	-0.316527	-0.996398	0	0.0117002
17115997014612549062	872.551	2.94114	3.51558	952.977	2	546.883	82.147	-0.243582	0.0338255	30.8751	0	0.48612	838.998	5.491	2.85351	1.61993	0.405986	-0.959748	0	0.0494923
